File name;Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;Area size;Class_1;Class_2
20240731133843_Y2_X5;10,218;144,940;0,244;939,858;1,042;13,111;-0,150;3,616;81,173;63,767;120,579;0,000;1,647;7541,451;31,902;12,698;15,977;10,040;89,651;24,728;1,649;15,119;0,635;11,214;5698488,305;2;8
20240731133843_Y2_X6;10,040;212,876;0,201;950,167;1,071;12,831;0,042;3,400;70,776;142,099;105,772;171,800;1,664;7859,100;30,656;13,328;13,577;11,605;89,250;25,576;1,494;15,520;0,651;11,177;5698488,305;2;8
20240731133843_Y2_X7;10,919;182,977;0,385;856,703;0,8644;13,489;-0,161;2,780;115,885;67,093;209,708;175,200;1,483;7524,214;35,741;10,265;12,575;7,972;88,911;24,117;1,532;16,018;0,537;12,841;5698488,305;2;8
20240731133843_Y3_X5;11,248;143,064;0,081;951,704;1,074;13,862;-0,081;2,838;71,636;71,428;111,509;180,000;1,666;8017,925;38,745;11,049;12,631;7,560;91,657;25,866;1,512;16,686;0,585;12,919;5698488,305;2;8
20240731133843_Y3_X6;10,577;141,375;0,120;928,487;1,028;13,218;-0,107;3,123;82,599;58,776;165,537;0,000;1,629;7962,873;34,379;12,075;13,013;8,180;89,355;24,537;1,509;15,384;0,619;12,187;5698488,305;2;8
20240731133843_Y3_X7;10,839;287,593;0,540;876,264;0,9445;13,591;-0,137;3,599;173,085;114,509;351,482;180,000;1,560;7784,173;34,979;10,903;14,366;7,679;88,248;23,379;1,692;15,479;0,560;12,469;5698488,305;2;8
20240731133843_Y4_X6;9,536;199,922;0,113;472,971;0,2606;11,871;-0,185;2,937;104,690;95,231;106,218;180,000;0,796;3936,849;30,685;8,749;11,905;8,795;88,685;20,846;1,412;14,129;0,449;11,098;5698488,305;2;8
20240731133843_Y4_X7;10,874;172,538;0,178;707,544;0,6080;13,498;-0,058;2,746;50,235;122,303;159,912;173,600;1,232;6449,025;35,470;11,054;12,523;9,746;89,958;25,583;1,536;16,634;0,558;12,426;5698488,305;2;8
20240731133843_Y5_X6;11,338;144,295;0,134;951,560;1,078;13,909;-0,218;2,734;78,629;65,665;152,140;170,500;1,671;8148,257;37,740;8,958;13,011;6,793;88,915;23,367;1,595;16,336;0,490;13,460;5698488,305;2;8
20240731133843_Y5_X7;11,639;123,512;0,176;902,137;0,9699;14,322;-0,113;2,698;67,731;55,781;180,007;180,000;1,579;7798,772;39,282;10,496;12,916;7,923;90,417;26,026;1,602;17,346;0,558;13,510;5698488,305;2;8
20240731133843_Y6_X5;10,965;350,179;0,174;895,532;0,9867;14,229;0,763;8,775;293,867;56,312;241,742;0,000;1,603;7767,640;35,747;16,343;12,287;7,699;89,741;24,157;1,500;15,762;0,771;12,532;5698488,305;2;8
20240731133843_Y6_X6;12,504;349,728;0,309;634,743;0,4945;15,462;-0,482;3,044;143,561;206,167;433,782;0,000;1,108;5822,344;36,984;9,098;18,910;6,649;84,296;22,891;2,011;16,798;0,492;14,919;5698488,305;2;8
20240731133843_Y6_X7;13,296;171,058;0,230;891,681;0,9518;16,132;-0,226;2,512;70,832;100,226;326,565;175,500;1,565;7670,199;46,048;8,286;14,016;5,679;90,196;26,623;1,785;19,329;0,486;15,903;5698488,305;2;8
20240731133843_Y7_X5;9,328;156,190;0,149;943,013;1,048;11,897;-0,253;3,380;91,164;65,026;206,515;0,000;1,647;8097,601;28,119;10,376;14,850;8,751;86,250;20,398;1,661;13,021;0,525;10,504;5698488,305;2;8
20240731133843_Y7_X6;9,453;153,203;0,107;924,651;1,020;12,102;0,000;3,674;87,124;66,079;125,566;0,000;1,628;7795,606;29,275;11,897;13,390;10,217;88,686;22,356;1,502;14,057;0,594;10,488;5698488,305;2;8
20240731133843_Y7_X7;9,730;134,727;0,291;924,311;1,016;12,247;-0,272;3,133;76,517;58,210;163,878;177,000;1,619;8043,429;30,716;9,731;14,382;8,356;88,115;21,451;1,583;13,937;0,502;11,090;5698488,305;2;8
20240731133843_Y8_X5;8,857;297,261;0,076;905,301;0,9835;11,085;-0,272;3,407;59,120;238,141;104,885;0,000;1,596;7799,651;28,323;8,382;12,244;7,759;88,019;18,707;1,393;12,631;0,437;10,238;5698488,305;2;8
