File name;Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;Area size;Class_1;Class_2
20240726130538_Y2_X2;62,579;688,805;0,307;442,255;0,4456;83,153;-0,139;4,904;267,503;421,302;439,627;180,000;1,058;1961,125;75,352;144,319;154,829;36,667;90,314;203,155;9,625;111,947;3,912;52,962;5698488,305;4;9
20240726130538_Y2_X3;106,260;761,881;0,270;1046,635;1,462;134,366;-1,127;4,062;266,344;495,538;378,247;0,000;2,055;4762,281;232,041;40,978;243,252;6,775;77,576;139,845;25,433;117,976;2,509;109,327;5698488,305;4;9
20240726130538_Y2_X4;152,622;756,012;0,225;998,777;1,246;187,816;-1,185;2,872;322,336;433,676;317,534;180,000;1,877;6566,165;92,748;75,923;620,298;22,708;72,863;131,371;29,072;129,416;3,344;229,905;5698488,305;4;9
20240726130538_Y3_X3;36,206;329,108;0,214;589,394;0,4002;50,563;2,214;7,636;259,761;69,346;294,475;0,000;1,012;3556,233;21,920;151,320;8,304;27,498;91,638;174,310;0,923;83,301;4,871;24,132;5698488,305;4;9
20240726130538_Y3_X4;40,587;287,117;0,793;547,006;0,3617;49,458;1,383;4,108;204,418;82,698;603,095;180,000;0,966;2355,285;26,660;133,638;8,279;37,696;93,400;153,538;0,951;79,154;3,401;32,400;5698488,305;4;9
20240726130538_Y3_X5;19,853;226,295;0,300;485,276;0,2693;29,850;2,335;8,178;171,775;54,521;320,882;90,000;0,822;3526,684;20,919;90,111;7,661;21,869;91,490;102,906;0,876;47,660;3,369;14,043;5698488,305;4;9
20240726130538_Y3_X6;49,550;274,552;0,300;648,840;0,4455;56,807;0,546;2,225;183,519;91,033;429,531;0,000;1,084;1864,564;67,951;106,569;6,040;47,629;98,423;127,211;1,123;81,739;2,684;54,937;5698488,305;4;9
20240726130538_Y3_X7;35,320;217,585;0,680;431,139;0,2047;42,792;1,303;3,363;159,784;57,801;542,867;180,000;0,705;2339,280;26,301;131,973;8,020;30,186;91,237;124,998;1,058;75,684;1,960;27,972;5698488,305;4;9
20240726130538_Y3_X8;18,681;245,500;0,737;654,572;0,4751;32,852;2,881;11,506;179,844;65,656;412,654;90,000;1,099;5776,966;24,797;117,426;12,734;14,482;87,128;124,484;1,392;30,022;6,183;11,745;5698488,305;4;9
20240726130538_Y3_X9;24,688;323,867;0,706;550,809;0,3451;40,192;2,367;8,342;245,480;78,387;422,670;0,000;0,933;4551,042;31,398;150,565;16,783;15,055;85,085;141,827;1,814;59,146;5,229;18,865;5698488,305;4;9
20240726130538_Y3_X10;52,983;504,629;0,606;285,531;0,2742;65,822;1,492;3,792;228,219;276,410;513,951;0,100;0,826;1679,415;25,305;228,864;8,690;27,848;93,314;200,078;0,919;122,751;3,112;38,101;5692923,375;4;9
20240726130538_Y4_X9;18,775;307,059;0,244;395,957;0,1538;32,494;3,082;12,514;185,604;121,455;253,256;90,000;0,621;1769,938;18,999;101,826;7,909;18,398;90,955;128,518;0,855;33,193;5,798;10,352;5698488,305;4;9
20240726130538_Y4_X10;53,318;299,064;0,546;416,036;0,2382;62,414;1,009;2,864;213,928;85,136;584,344;180,000;0,790;758,243;37,399;158,539;6,914;44,368;96,204;183,701;0,922;99,519;3,343;47,845;5698488,305;4;9
20240726134256_Y1_X1;164,776;627,880;0,284;621,891;1,274;175,462;0,152;1,433;401,641;226,238;407,976;0,000;2,048;2943,095;34,355;606,867;6,147;55,016;96,298;241,053;0,862;233,591;4,323;178,553;5698488,305;4;9
20240726134256_Y1_X2;165,406;575,902;0,309;638,260;1,322;172,935;-0,117;1,266;309,358;266,544;438,285;0,000;2,007;2660,095;39,146;611,667;8,462;58,088;97,267;169,010;0,837;203,108;3,417;193,340;5698488,305;4;9
20240726134256_Y1_X3;70,184;637,366;0,227;644,657;1,017;90,136;-0,294;4,756;221,484;415,883;316,559;179,800;1,736;1776,270;163,167;112,931;123,489;24,316;92,194;192,628;9,237;120,160;3,339;70,062;5698488,305;4;9
20240726134256_Y2_X3;107,138;548,497;0,256;565,272;1,123;137,561;1,792;4,929;440,086;108,412;353,187;0,000;1,850;3767,472;19,368;545,951;5,730;24,532;91,060;461,212;0,727;205,775;14,850;59,504;5698488,305;4;9
20240726134256_Y2_X4;132,376;553,900;0,293;838,294;0,9648;153,338;0,080;1,808;307,672;246,228;420,479;180,000;1,646;2439,359;444,018;101,799;;12,539;;256,276;1,265;221,615;3,556;194,139;5698488,305;4;9
20240726134256_Y2_X5;56,934;356,181;0,241;624,126;0,4003;75,593;-0,872;2,998;156,943;199,237;338,911;180,000;1,021;3199,713;90,033;56,543;185,301;17,130;77,183;101,462;16,671;66,505;2,328;63,111;5698488,305;4;9
20240726134256_Y2_X6;38,050;266,357;0,257;565,881;0,3653;47,106;-0,911;3,662;83,202;183,155;362,177;174,200;1,015;4261,534;102,681;7,694;64,193;3,901;79,568;52,744;6,367;47,936;0,733;47,427;5698488,305;4;9
20240726134256_Y3_X6;37,325;268,650;0,165;643,996;0,5879;56,607;2,233;6,175;184,259;84,390;228,352;0,000;1,334;5443,486;18,887;244,237;6,467;16,488;89,618;180,448;0,826;138,341;1,619;25,354;5698488,305;4;9
20240726134256_Y3_X7;74,411;266,007;0,269;496,827;0,4541;78,328;0,605;1,480;167,875;98,133;384,198;0,000;1,208;3341,828;23,856;281,984;6,628;37,644;93,230;187,064;0,826;112,316;1,304;61,201;5698488,305;4;9
20240726134256_Y3_X8;87,257;275,376;0,285;680,460;0,8095;91,366;0,569;1,419;163,660;111,717;399,702;0,000;1,499;4707,053;24,949;331,608;6,435;38,450;94,287;211,435;0,790;133,133;0,867;72,852;5698488,305;4;9
20240726134256_Y3_X9;117,884;349,420;0,303;141,166;0,4272;123,844;-0,299;1,258;174,282;175,137;434,875;0,000;1,327;364,435;161,613;8,940;275,881;1,653;60,473;88,435;0,950;133,040;0,992;150,227;5698488,305;4;9
