File name;Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;Area size;Class_1;Class_2
20240717143355_Y2_X2;61,870;362,592;0,348;373,137;0,3322;79,689;1,290;3,325;262,983;99,609;381,784;90,000;0,965;2309,731;101,948;214,178;8,644;23,668;96,986;212,451;2,157;155,294;1,974;60,401;5698488,305;11;11
20240717143355_Y3_X2;94,146;377,697;0,428;716,049;1,357;102,123;-0,022;1,397;225,027;152,670;491,191;90,000;2,015;2921,813;123,742;195,049;5,115;56,898;99,185;136,459;1,964;128,433;1,645;116,332;5698488,305;11;11
20240717143355_Y4_X2;96,749;299,918;0,458;551,232;0,6194;100,523;-0,269;1,222;145,498;154,420;533,945;90,000;1,383;3128,479;114,060;10,585;232,819;2,125;56,831;57,113;1,975;104,980;0,775;120,184;5698488,305;11;11
20240717143355_Y5_X2;92,258;373,654;0,468;634,518;0,8149;96,480;-0,160;1,221;160,318;213,336;542,655;90,000;1,614;2537,151;110,433;15,540;213,538;2,992;53,417;73,595;1,939;104,849;0,954;111,757;5698488,305;11;11
20240717143355_Y6_X2;78,814;302,826;0,455;582,526;0,7189;82,698;-0,200;1,289;168,462;134,364;528,337;90,000;1,542;4433,023;100,452;28,447;175,111;7,852;57,016;69,300;1,810;90,171;1,648;96,478;5698488,305;11;11
20240717143355_Y7_X2;31,342;218,994;0,315;537,933;0,4568;47,123;-2,041;6,010;64,890;154,104;327,684;90,000;1,200;4554,208;46,203;8,502;141,987;4,297;80,411;25,416;14,033;20,643;0,462;20,882;5698488,305;11;11
20240717143355_Y7_X3;30,224;241,584;0,289;465,562;0,3345;45,697;1,864;6,160;168,673;72,912;305,696;90,000;0,954;6413,320;66,447;177,626;11,512;11,002;89,379;147,486;1,762;76,699;4,725;30,576;5698488,305;11;11
20240717143355_Y8_X3;40,739;212,350;0,419;627,813;0,5606;50,450;-0,923;2,580;82,298;130,053;442,620;90,000;1,256;5848,903;92,002;7,520;107,925;1,945;77,734;44,407;6,660;44,492;0,629;62,583;5698488,305;11;11
20240717143355_Y8_X4;29,884;193,707;0,534;588,556;0,5259;40,093;1,188;3,485;122,947;70,761;561,999;90,000;1,182;7208,499;75,702;103,441;6,525;16,384;97,533;104,580;1,542;77,192;1,248;33,291;5698488,305;11;11
20240717143355_Y9_X4;24,711;162,372;0,496;321,773;0,1511;31,353;-1,013;3,773;56,943;105,429;541,862;90,000;0,626;3164,360;70,696;5,785;56,161;2,382;85,213;35,329;5,215;30,198;0,447;27,600;5698488,305;11;11
20240718134058_Y1_X8;64,210;373,319;0,427;586,428;1,292;89,039;-1,408;4,047;131,777;241,542;376,338;0,000;2,051;4957,866;128,257;27,457;257,336;8,028;82,580;82,300;24,560;60,637;1,406;52,711;5698488,305;11;11
