File name;Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;Area size;Class_1;Class_2
20240806090626_Y1_X2;20,026;312,156;0,209;561,654;0,4666;28,807;1,271;9,107;224,167;87,989;111,591;175,100;1,162;582,533;58,025;60,227;33,168;8,290;89,079;66,544;3,245;25,924;2,691;20,329;5698488,305;5;8
20240806090626_Y1_X3;18,169;547,893;0,242;835,207;1,150;33,332;6,621;78,857;454,964;92,929;62,363;174,100;1,798;3724,204;51,788;57,629;26,995;9,425;90,035;41,458;2,754;23,819;2,773;17,517;5698488,305;5;8
20240806090626_Y1_X4;16,359;337,861;0,103;773,511;0,6967;22,377;0,390;5,987;202,462;135,399;64,662;175,500;1,405;3240,166;44,852;32,683;27,847;11,746;87,159;48,338;2,825;23,630;1,669;17,135;5698488,305;5;8
20240806090626_Y1_X5;15,318;175,683;0,126;762,397;0,5899;19,317;-0,191;3,263;105,329;70,354;90,139;173,100;1,263;3367,508;43,706;19,317;22,465;8,007;83,583;32,635;2,389;20,615;0,943;18,197;5698488,305;5;8
20240806090626_Y1_X6;16,746;527,219;0,281;736,667;0,7889;27,945;4,830;50,629;391,405;135,813;63,501;172,900;1,506;2604,867;48,224;56,820;18,639;8,762;88,762;41,325;2,257;21,906;2,617;17,046;5698488,305;5;8
20240806090626_Y2_X2;18,644;243,481;0,083;529,432;0,2947;23,526;0,030;3,150;138,174;105,307;115,273;0,000;0,875;430,041;55,131;24,843;22,218;10,284;85,810;44,637;2,582;27,651;1,235;22,017;5698488,305;5;8
20240806090626_Y2_X3;19,722;536,215;0,225;555,195;0,9491;35,606;6,624;81,281;468,177;68,038;73,571;180,000;1,630;283,000;47,054;59,390;27,274;10,693;80,826;45,446;2,772;25,491;3,065;21,831;5698488,305;5;8
20240806090626_Y2_X4;20,419;278,904;0,107;1002,110;1,156;26,755;0,573;4,238;139,232;139,672;148,271;173,600;1,835;5170,336;61,752;48,478;22,070;8,749;88,170;67,630;2,699;28,107;2,334;22,516;5698488,305;5;8
20240806090626_Y2_X5;20,801;360,488;0,091;987,064;1,165;28,809;1,110;9,533;265,262;95,226;127,952;171,900;1,855;4936,056;52,451;50,758;30,140;10,269;81,555;62,068;3,157;27,531;2,557;23,433;5698488,305;5;8
20240806090626_Y2_X6;22,236;264,955;0,118;973,247;1,182;29,980;0,608;4,816;169,952;95,003;165,677;172,500;1,855;4960,504;60,950;49,584;30,002;11,446;85,635;71,307;3,496;32,171;2,538;23,692;5698488,305;5;8
20240806090626_Y3_X2;16,304;334,985;0,120;809,438;0,6780;22,728;1,602;18,717;256,251;78,734;112,872;0,000;1,342;4271,208;49,033;29,500;24,599;9,224;88,283;37,082;2,601;22,893;1,452;17,691;5698488,305;5;8
20240806090626_Y3_X3;20,257;378,249;0,208;835,050;0,7854;27,831;0,942;11,812;289,879;88,370;158,681;174,300;1,468;3875,465;57,895;33,420;33,888;10,042;86,490;46,793;3,589;28,037;1,673;22,085;5698488,305;5;8
20240806090626_Y3_X4;17,803;276,456;0,095;848,322;0,7542;23,487;-0,175;4,832;172,999;103,457;131,140;0,000;1,441;3933,508;51,050;22,205;35,209;9,586;86,592;38,151;3,490;24,405;1,109;19,336;5698488,305;5;8
20240806090626_Y3_X5;19,766;340,839;0,158;780,448;0,7478;26,950;1,178;10,155;218,178;122,662;116,104;0,000;1,455;2862,891;52,656;42,641;26,327;8,835;81,377;45,042;2,803;25,916;2,032;23,335;5698488,305;5;8
20240806090626_Y3_X6;17,361;200,633;0,077;821,005;0,7431;21,715;0,219;3,112;109,008;91,625;100,012;173,600;1,430;3399,519;54,432;23,795;15,919;9,708;88,042;43,505;2,042;26,386;1,192;20,826;5698488,305;5;8
20240806090626_Y4_X2;17,867;403,543;0,087;843,688;0,7513;22,638;0,538;4,812;324,061;79,482;120,672;172,900;1,430;4049,416;58,159;26,532;17,051;10,296;92,555;46,064;2,083;27,508;1,328;20,010;5698488,305;5;8
20240806090626_Y4_X3;22,194;288,416;0,296;974,760;1,041;27,996;0,338;4,356;197,417;90,999;261,024;174,200;1,705;4908,618;67,133;31,967;23,714;9,218;86,524;51,738;2,830;32,256;1,606;26,080;5698488,305;5;8
20240806090626_Y4_X4;18,334;217,566;0,114;608,214;0,3362;23,083;-0,135;3,290;122,832;94,734;158,085;175,200;0,943;1292,936;59,502;19,955;25,752;7,723;89,501;39,595;2,877;26,244;0,976;20,729;5698488,305;5;8
20240806090626_Y4_X5;20,601;487,263;0,229;645,627;1,136;36,850;4,766;42,060;391,341;95,923;94,182;52,700;1,811;1284,845;56,234;93,367;30,122;8,121;89,785;58,782;2,910;24,844;4,012;19,606;5698488,305;5;8
20240806090626_Y4_X6;16,002;227,839;0,077;632,332;0,3344;21,085;-0,080;4,408;150,894;76,945;106,893;180,000;0,931;712,337;44,573;25,155;28,849;8,610;84,546;36,409;2,996;20,865;1,224;17,842;5698488,305;5;8
20240806090626_Y5_X2;17,755;212,151;0,121;825,367;0,6713;22,550;-0,400;3,245;116,391;95,760;167,826;3,600;1,337;4028,662;51,193;17,034;30,109;8,698;84,467;35,599;3,257;24,271;0,870;20,336;5698488,305;5;8
20240806090626_Y5_X3;18,358;249,192;0,094;783,836;0,6408;23,020;-0,320;3,325;145,593;103,598;129,398;3,800;1,313;4141,580;60,242;14,842;28,983;7,109;89,251;37,470;3,112;25,971;0,802;20,626;5698488,305;5;8
20240806090626_Y5_X4;17,454;532,023;0,434;806,330;1,012;31,877;6,157;66,908;388,400;143,622;91,008;180,000;1,676;3614,451;48,255;54,890;23,626;9,847;88,293;38,524;2,559;23,003;2,718;17,499;5698488,305;5;8
20240806090626_Y5_X5;16,157;277,268;0,108;1115,395;1,438;20,981;0,430;5,121;169,783;107,485;77,250;180,000;2,022;5613,392;50,343;25,932;19,124;9,497;89,191;39,931;2,217;23,736;1,285;18,288;5698488,305;5;8
20240806090626_Y5_X6;15,321;518,718;0,115;1087,510;1,511;21,443;1,488;20,191;436,925;81,793;59,264;2,200;2,076;4666,247;44,287;30,070;24,218;11,195;88,585;41,459;2,526;22,295;1,531;15,989;5698488,305;5;8
20240806094048_Y1_X1;17,941;285,549;0,162;881,557;0,9628;23,854;0,979;10,070;210,604;74,945;73,165;176,700;1,637;3829,735;50,920;34,319;22,064;7,928;83,521;39,060;2,428;23,962;1,572;21,247;5698488,305;5;8
20240806094048_Y1_X2;17,841;220,362;0,133;947,594;1,030;22,276;0,542;4,078;149,709;70,653;186,597;180,000;1,686;4550,691;56,939;32,227;11,874;7,678;89,527;45,814;1,611;25,500;1,532;21,586;5698488,305;5;8
20240806094048_Y1_X3;18,307;262,046;0,129;1065,681;1,385;23,245;0,591;5,256;173,495;88,551;177,993;0,000;1,976;5678,821;53,073;33,515;17,587;8,000;84,483;43,011;1,978;25,223;1,565;21,893;5698488,305;5;8
20240806094048_Y1_X4;16,696;265,129;0,199;1078,461;1,437;21,695;0,448;5,218;138,239;126,890;141,191;0,000;2,021;5819,882;49,092;30,793;19,784;7,985;84,625;39,093;2,312;22,641;1,434;19,691;5698488,305;5;8
20240806094048_Y1_X5;13,356;236,893;0,174;890,749;0,9612;17,686;-0,156;4,380;142,695;94,197;162,047;180,000;1,611;5584,723;37,035;20,905;23,785;9,467;84,767;31,574;2,514;17,920;1,036;14,629;5698488,305;5;8
20240806094048_Y1_X6;11,597;311,636;0,392;985,533;1,171;15,083;0,224;4,311;161,575;150,061;281,254;0,000;1,778;6779,866;35,876;18,234;16,626;10,380;90,001;30,147;1,745;17,279;0,914;12,629;5698488,305;5;8
20240806094048_Y2_X1;12,958;294,358;0,290;1094,112;1,433;18,525;1,579;10,566;178,408;115,950;82,331;5,200;2,009;5908,528;35,957;33,087;15,857;11,536;87,733;39,476;1,851;18,595;1,737;13,410;5698488,305;5;8
20240806094048_Y2_X2;11,539;406,863;0,103;976,091;1,140;15,340;0,752;8,188;330,310;76,552;68,639;3,000;1,778;5490,800;35,318;20,321;15,231;10,940;90,135;31,055;1,683;17,379;1,025;12,342;5698488,305;5;8
20240806094048_Y2_X3;10,319;133,159;0,156;649,809;0,3628;13,081;0,169;3,498;73,123;60,036;69,080;180,000;0,977;2196,636;33,219;14,777;11,913;9,670;90,585;26,529;1,406;15,494;0,740;11,532;5698488,305;5;8
20240806094048_Y2_X4;13,657;249,613;0,420;1064,655;1,378;18,768;0,910;9,108;155,786;93,827;83,717;154,600;1,970;5569,069;38,887;27,378;20,122;9,824;86,284;33,771;2,204;18,856;1,362;14,931;5698488,305;5;8
20240806094048_Y2_X5;13,217;351,380;0,419;1174,875;1,689;18,337;0,805;8,192;148,118;203,262;69,866;175,700;2,198;6278,943;37,272;28,039;21,122;10,543;87,068;36,226;2,286;18,384;1,423;13,753;5698488,305;5;8
20240806094048_Y2_X6;13,859;214,387;0,179;790,606;0,7078;18,254;0,196;5,518;129,969;84,418;107,034;155,700;1,389;3942,302;41,268;23,035;21,904;7,904;86,400;31,408;2,410;18,473;1,084;15,313;5698488,305;5;8
20240806094048_Y3_X1;17,299;265,712;0,105;787,888;0,4115;22,276;0,249;5,009;195,795;69,917;89,306;173,600;1,053;764,223;51,371;27,343;24,911;8,223;86,522;39,630;2,666;23,477;1,341;19,525;5698488,305;5;8
20240806094048_Y3_X2;19,069;320,122;0,145;798,308;0,4444;25,896;1,102;8,368;242,547;77,576;109,202;180,000;1,114;638,113;53,405;42,014;22,850;10,781;86,137;58,804;2,632;27,405;2,136;20,958;5698488,305;5;8
20240806094048_Y3_X3;18,373;222,431;0,218;758,794;0,4533;23,609;0,656;4,884;152,835;69,596;144,319;0,000;1,110;949,431;56,263;35,751;16,687;8,875;87,826;48,736;2,246;26,174;1,749;20,629;5698488,305;5;8
20240806094048_Y3_X4;18,989;216,480;0,158;803,003;0,6299;23,328;0,377;3,442;128,589;87,890;92,955;0,000;1,320;1955,145;67,512;27,528;14,143;6,792;94,523;46,531;1,888;28,216;1,308;22,073;5698488,305;5;8
20240806094048_Y3_X5;16,087;232,239;0,125;1237,011;1,904;21,025;0,107;4,411;133,584;98,655;78,760;180,000;2,360;5975,365;44,128;25,467;24,710;9,830;83,359;38,080;2,681;22,077;1,270;18,454;5698488,305;5;8
20240806094048_Y3_X6;13,065;369,023;0,186;922,144;1,022;17,092;-0,076;5,752;271,761;97,261;76,272;174,800;1,679;4976,510;37,917;17,572;22,963;8,182;85,428;28,111;2,454;17,387;0,850;14,525;5698488,305;5;8
20240806094048_Y4_X1;16,709;195,285;0,085;721,755;0,3759;21,562;0,367;4,045;128,847;66,438;86,179;0,000;0,996;748,570;52,861;28,034;22,493;10,040;91,349;46,713;2,299;25,012;1,402;18,231;5698488,305;5;8
20240806094048_Y4_X2;16,328;317,923;0,187;727,815;0,4510;22,581;1,498;11,511;256,314;61,609;79,682;180,000;1,132;799,049;47,210;38,976;17,501;11,756;89,661;59,485;2,105;24,215;2,051;17,046;5698488,305;5;8
20240806094048_Y4_X3;15,744;248,791;0,280;649,201;0,4725;22,223;1,733;11,175;169,486;79,305;95,921;174,300;1,147;1467,238;47,145;40,645;16,220;10,327;90,779;46,068;1,929;22,694;2,058;16,512;5698488,305;5;8
20240806094048_Y4_X4;15,649;219,291;0,169;693,282;0,4337;20,166;0,666;5,904;151,732;67,559;75,701;174,700;1,075;1390,552;51,354;27,730;15,393;7,546;90,370;36,631;1,960;22,333;1,285;17,876;5698488,305;5;8
20240806094048_Y4_X5;18,199;236,514;0,127;1186,817;1,695;22,970;0,119;3,680;148,086;88,427;76,717;172,800;2,200;5836,415;57,489;26,439;21,238;7,256;87,288;41,272;2,590;25,313;1,240;21,264;5698488,305;5;8
20240806094048_Y4_X6;16,194;272,071;0,155;971,313;1,076;20,668;0,089;4,520;188,154;83,917;93,149;174,300;1,723;5040,884;49,295;23,272;23,023;6,665;86,096;32,703;2,552;21,602;1,044;18,765;5698488,305;5;8
20240806094048_Y5_X1;11,876;218,814;0,095;703,226;0,4338;15,784;0,476;6,523;148,668;70,146;86,010;172,300;1,081;2120,478;35,619;20,009;18,242;10,020;88,473;30,111;1,972;16,952;1,001;12,683;5698488,305;5;8
20240806094048_Y5_X2;12,561;170,176;0,103;669,720;0,3309;15,931;0,056;3,438;110,335;59,841;123,524;173,600;0,936;1502,416;38,876;17,571;15,767;8,221;86,624;29,272;1,947;17,596;0,860;14,342;5698488,305;5;8
20240806094048_Y5_X3;13,925;178,672;0,081;704,289;0,5325;17,752;-0,009;4,468;111,675;66,997;113,309;172,800;1,193;3294,163;38,238;17,939;21,439;7,733;81,609;27,009;2,258;18,191;0,857;16,705;5698488,305;5;8
20240806094048_Y5_X4;14,398;382,983;0,103;979,828;1,127;18,822;-0,079;4,596;256,414;126,570;132,708;175,700;1,765;5652,790;41,889;19,232;25,335;8,982;85,847;31,509;2,729;19,595;0,954;15,806;5698488,305;5;8
20240806094048_Y5_X5;16,502;325,659;0,366;633,402;0,3705;26,239;2,649;21,811;252,813;72,846;122,218;180,000;1,066;340,339;41,297;54,738;29,732;9,269;84,944;47,233;3,010;19,827;2,614;16,218;5698488,305;5;8
20240806094048_Y5_X6;16,038;387,737;0,450;564,041;0,5027;26,694;3,237;28,756;303,375;84,362;97,821;174,300;1,198;1588,072;38,257;61,661;26,959;9,762;84,656;56,994;2,698;18,937;3,039;15,432;5698488,305;5;8
