File name;Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;Area size;Class_1;Class_2
20240801110344_Y1_X4;51,086;266,686;0,477;798,743;0,4967;60,255;0,456;2,092;137,632;129,054;512,120;90,000;1,173;1337,083;128,159;85,587;23,221;22,617;94,050;126,975;3,733;95,244;0,902;57,311;5698488,305;6;9
20240801110344_Y1_X5;44,286;320,552;0,516;608,585;0,2448;58,266;0,910;3,406;172,645;147,907;557,371;90,000;0,777;700,201;123,515;130,179;26,492;13,414;93,256;147,262;3,459;109,384;2,119;51,397;5698488,305;6;9
20240801110344_Y1_X6;34,753;281,605;0,450;675,813;0,2619;41,435;0,217;2,551;160,315;121,290;508,403;90,000;0,815;1489,576;107,835;31,154;27,894;15,405;93,928;78,784;3,370;55,062;1,338;39,764;5698488,305;6;9
20240801110344_Y2_X3;32,711;295,086;0,274;795,189;0,3658;43,510;-1,174;3,815;113,810;181,275;290,991;90,000;1,009;851,639;72,054;18,776;97,370;7,148;79,942;45,290;9,713;34,522;0,984;34,102;5698488,305;6;9
20240801110344_Y2_X4;38,638;309,750;0,351;758,351;0,2900;51,700;1,187;4,380;169,554;140,196;379,868;90,000;0,859;1140,443;107,394;123,659;17,838;12,284;93,817;150,402;3,217;57,372;6,620;38,118;5698488,305;6;9
20240801110344_Y2_X7;41,911;234,387;0,437;517,422;0,2179;48,324;-0,014;1,875;120,732;113,655;490,598;90,000;0,737;2274,202;154,904;18,783;18,789;2,865;95,273;82,425;3,424;59,185;1,389;51,735;5698488,305;6;9
20240801110344_Y3_X3;42,209;307,859;0,666;943,436;1,150;58,163;-1,632;4,216;97,710;210,148;445,372;90,000;1,753;6842,305;51,880;14,361;213,148;6,459;81,174;33,043;20,714;23,117;0,751;21,874;5698488,305;6;9
20240801110344_Y3_X4;38,232;405,405;0,366;1178,934;1,762;57,270;1,736;6,274;250,357;155,048;383,430;90,000;2,217;7240,862;93,533;204,710;28,869;9,982;89,992;180,376;3,488;45,709;10,222;33,664;5698488,305;6;9
20240801110344_Y3_X7;36,672;190,542;0,411;421,622;0,1554;42,596;-0,115;1,860;89,539;101,003;461,762;90,000;0,622;1788,758;135,114;9,113;16,299;1,716;93,654;65,521;3,112;53,528;0,834;47,513;5698488,305;6;9
20240801110344_Y4_X3;54,145;345,935;0,389;875,434;0,9727;62,658;-0,911;2,233;138,039;207,896;434,859;90,000;1,632;5944,057;57,947;19,266;189,539;7,685;71,512;39,169;4,170;51,550;1,001;88,370;5698488,305;6;9
20240801110344_Y4_X6;35,271;217,041;0,413;583,909;0,1336;41,158;-0,124;1,938;108,298;108,743;465,109;90,000;0,568;665,727;125,720;15,855;19,385;2,642;91,825;64,128;3,002;50,449;0,985;45,804;5698488,305;6;9
20240801110344_Y4_X7;36,186;212,306;0,400;736,865;0,4021;41,873;-0,112;1,856;107,886;104,420;450,136;90,000;1,019;2786,029;126,742;12,780;18,513;2,139;90,288;64,481;3,078;52,397;0,831;46,388;5698488,305;6;9
20240801110344_Y5_X3;61,909;302,924;0,496;922,321;1,073;64,922;-0,181;1,371;130,007;172,917;551,074;90,000;1,701;6104,465;82,538;14,524;126,496;3,881;52,384;50,626;3,396;69,605;0,850;72,209;5698488,305;6;9
20240801110344_Y5_X6;32,350;238,454;0,415;736,466;0,2628;37,946;-0,146;2,086;89,363;149,091;464,764;90,000;0,819;1270,246;123,272;8,692;21,685;2,010;94,412;60,448;3,408;47,907;0,790;39,404;5698488,305;6;9
20240801110344_Y6_X3;54,311;290,806;0,448;1055,858;1,380;58,703;-0,060;1,508;134,366;156,440;522,997;90,000;1,949;6838,084;108,498;15,016;68,722;2,619;56,074;90,235;3,427;68,906;0,878;62,761;5698488,305;6;9
20240801110344_Y6_X7;30,339;193,295;0,404;831,193;0,4183;35,115;-0,135;1,949;88,295;105,000;453,921;90,000;1,043;2341,390;102,967;12,271;19,310;3,314;89,368;53,966;2,781;42,400;0,903;38,027;5698488,305;6;9
20240801110344_Y7_X3;39,301;272,936;0,449;561,428;0,3826;48,818;-0,972;2,724;104,567;168,369;485,593;90,000;1,004;2708,991;65,681;18,685;125,697;7,687;75,517;43,990;4,540;43,120;0,993;66,504;5698488,305;6;9
20240801110344_Y8_X3;44,275;207,746;0,466;483,963;0,1753;48,441;-0,436;1,675;92,652;115,094;522,469;90,000;0,662;623,163;66,408;17,133;93,562;7,121;61,660;43,100;2,985;49,601;0,943;58,723;5698488,305;6;9
20240801110344_Y9_X2;25,823;277,608;0,226;922,777;1,038;34,146;-0,823;3,758;136,305;141,303;313,180;0,000;1,664;6424,577;62,228;26,718;62,975;8,563;80,613;46,902;6,381;30,298;1,333;28,483;5698488,305;6;9
20240801110344_Y9_X3;31,656;273,259;0,474;1034,996;1,259;40,778;0,700;2,850;155,748;117,510;506,849;90,000;1,841;7178,775;75,156;76,202;24,073;20,458;89,352;92,568;3,094;66,766;1,258;34,770;5698488,305;6;9
20240801110344_Y10_X1;21,629;195,565;0,265;560,822;0,2973;29,058;-0,942;3,840;85,208;110,357;366,752;180,000;0,864;2889,098;56,730;17,891;66,242;9,506;86,105;40,955;5,950;26,963;0,904;21,088;5698488,305;6;9
