File name;Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;Area size;Class_1;Class_2
20240923142852_Y1_X1;5,734;93,421;0,497;474,613;0,4008;7,200;-0,070;3,166;42,748;50,673;268,318;81,800;1,049;5267,073;18,773;6,427;7,682;9,228;90,689;13,592;0,843;8,599;0,327;6,416;5698488,305;0;0
20240923142852_Y1_X2;5,486;91,166;0,274;493,758;0,3981;6,913;0,028;3,321;54,228;36,939;280,506;81,700;1,046;5085,031;17,737;6,844;7,058;10,120;91,079;13,788;0,784;8,354;0,342;6,042;5698488,305;0;0
20240923142852_Y1_X3;5,348;85,211;0,271;514,580;0,4265;6,730;-0,039;3,286;45,223;39,987;373,737;81,700;1,078;5550,777;17,574;6,523;6,752;8,915;90,451;13,060;0,785;7,934;0,333;5,961;5698488,305;0;0
20240923142852_Y1_X4;5,220;66,227;0,253;482,027;0,3877;6,469;-0,025;2,932;35,782;30,444;352,318;81,700;1,027;5512,785;17,790;5,623;6,006;8,377;91,772;12,443;0,696;7,879;0,293;5,932;5698488,305;0;0
20240923142852_Y1_X5;5,571;65,859;0,292;448,227;0,3190;6,935;0,058;3,037;33,104;32,755;402,716;81,700;0,924;5047,919;18,488;6,635;6,442;9,466;91,931;13,841;0,742;8,482;0,334;6,223;5698488,305;0;0
20240923142852_Y1_X6;5,469;65,967;0,249;448,505;0,3220;6,785;-0,047;2,990;34,282;31,685;345,342;81,700;0,928;5009,400;18,628;5,962;6,579;7,991;91,773;12,921;0,734;8,145;0,310;6,238;5698488,305;0;0
20240923142852_Y1_X7;5,918;73,496;0,275;466,992;0,3710;7,294;-0,113;2,909;37,269;36,227;382,156;0,000;1,003;5367,152;20,251;5,694;6,919;7,759;91,568;13,530;0,797;8,819;0,304;6,773;5698488,305;0;0
20240923142852_Y1_X8;6,015;66,828;0,269;466,506;0,3602;7,440;-0,157;2,900;31,567;35,261;374,006;0,000;0,981;5454,391;20,250;5,641;7,246;7,804;90,742;13,486;0,822;8,913;0,299;7,018;5698488,305;0;0
20240923142852_Y2_X1;5,695;86,997;0,675;495,571;0,4159;7,349;-0,191;3,594;50,067;36,930;283,136;81,700;1,078;4978,620;16,897;6,987;9,251;10,330;86,997;13,363;1,008;8,226;0,348;6,293;5698488,305;0;0
20240923142852_Y2_X2;5,141;79,566;0,640;485,533;0,3609;6,606;-0,199;3,665;41,376;38,191;305,099;81,700;0,992;4902,462;15,753;6,266;7,811;9,901;88,111;12,089;0,852;7,515;0,314;5,730;5698488,305;0;0
20240923142852_Y2_X3;5,097;69,294;0,358;461,483;0,3507;6,487;-0,044;3,433;38,151;31,143;349,371;81,700;0,975;5140,787;16,093;6,556;6,961;9,806;89,535;12,603;0,763;7,624;0,329;5,716;5698488,305;0;0
20240923142852_Y2_X4;4,698;72,164;0,278;413,627;0,2989;5,956;-0,130;3,417;38,235;33,929;184,218;81,700;0,894;4850,927;14,979;5,388;6,646;10,017;90,132;11,262;0,718;7,073;0,269;5,222;5698488,305;0;0
20240923142852_Y2_X5;5,435;81,582;0,491;433,738;0,3240;6,875;0,021;3,535;49,356;32,226;383,601;81,700;0,931;5106,665;17,885;7,052;7,373;8,983;91,370;13,562;0,776;8,097;0,356;6,043;5698488,305;0;0
20240923142852_Y2_X6;4,898;73,501;0,260;399,892;0,2829;6,150;-0,077;3,181;30,406;43,094;358,969;81,700;0,863;4981,083;15,977;5,800;6,184;8,835;90,110;11,783;0,708;7,256;0,296;5,538;5698488,305;0;0
20240923142852_Y2_X7;5,045;79,971;0,252;427,389;0,3418;6,339;-0,038;3,304;38,308;41,663;347,757;81,700;0,959;5406,374;16,676;5,909;6,565;9,396;91,463;12,326;0,706;7,668;0,300;5,642;5698488,305;0;0
20240923142852_Y2_X8;5,471;76,081;0,264;435,859;0,3459;6,868;-0,064;3,237;41,533;34,548;363,831;81,700;0,968;5243,153;17,983;6,266;7,140;9,195;91,064;13,206;0,781;8,219;0,318;6,137;5698488,305;0;0
20240923142852_Y3_X1;5,411;93,011;0,653;499,762;0,4017;6,822;-0,206;3,472;46,685;46,326;370,172;81,700;1,055;5143,425;17,433;5,749;7,405;8,511;89,155;12,198;0,828;7,896;0,295;6,172;5698488,305;0;0
20240923142852_Y3_X2;5,227;88,326;0,456;546,609;0,4778;6,802;-0,411;4,119;43,670;44,656;251,405;81,700;1,161;5490,975;15,785;6,230;9,295;9,363;87,878;12,078;0,949;7,384;0,313;5,735;5698488,305;0;0
20240923142852_Y3_X3;5,044;78,902;0,424;489,872;0,3991;6,551;-0,368;3,980;35,298;43,605;272,126;81,700;1,050;5241,745;14,988;6,206;8,587;9,665;87,083;11,747;0,901;7,160;0,311;5,583;5698488,305;0;0
20240923142852_Y3_X4;5,145;94,804;0,364;451,504;0,3553;6,702;-0,412;4,016;46,280;48,525;202,490;81,700;0,987;5002,013;15,429;6,179;9,317;9,487;87,699;11,970;0,944;7,273;0,310;5,636;5698488,305;0;0
20240923142852_Y3_X5;4,786;76,908;0,365;418,703;0,2894;6,211;-0,206;3,855;40,081;36,827;191,641;81,700;0,877;4686,123;14,133;6,164;7,814;10,343;87,016;11,385;0,837;6,925;0,307;5,300;5698488,305;0;0
20240923142852_Y3_X6;4,787;79,812;0,322;432,204;0,3222;6,197;-0,382;3,922;41,452;38,361;297,338;81,700;0,927;5193,025;14,239;5,737;8,017;9,882;87,133;11,165;0,836;6,880;0,288;5,346;5698488,305;0;0
20240923142852_Y3_X7;4,713;74,533;0,411;393,615;0,2682;6,092;-0,367;3,893;31,349;43,184;362,019;81,700;0,836;4819,796;14,445;5,380;8,216;10,251;89,084;11,088;0,817;6,918;0,268;5,156;5698488,305;0;0
20240923142852_Y3_X8;5,204;75,456;0,658;457,011;0,3330;6,703;-0,194;3,673;42,599;32,858;336,159;81,600;0,943;5011,863;15,859;6,359;8,406;10,418;88,628;12,336;0,870;7,707;0,316;5,737;5698488,305;0;0
20240923142852_Y4_X1;5,580;81,366;0,235;508,302;0,4345;7,105;-0,515;3,770;38,407;42,959;323,404;81,700;1,097;5459,316;16,849;5,452;9,605;7,261;86,424;11,216;1,006;7,484;0,279;6,290;5698488,305;0;0
20240923142852_Y4_X2;5,409;95,423;0,216;491,333;0,3729;6,955;-0,602;3,922;43,480;51,943;298,982;81,600;1,012;4992,515;15,475;5,234;10,130;8,001;84,945;10,648;1,044;7,166;0,267;6,049;5698488,305;0;0
20240923142852_Y4_X3;5,465;87,776;0,201;525,838;0,4362;7,054;-0,505;3,816;40,212;47,564;276,976;81,700;1,101;5202,171;15,625;6,130;10,042;8,474;85,103;11,443;1,042;7,293;0,310;6,095;5698488,305;0;0
20240923142852_Y4_X4;5,086;76,253;0,189;413,245;0,2908;6,690;-0,753;4,405;35,880;40,373;261,785;81,700;0,880;4781,980;14,331;5,219;10,698;8,579;85,277;10,345;1,078;6,673;0,266;5,516;5698488,305;0;0
20240923142852_Y4_X5;4,992;82,419;0,140;484,572;0,4029;6,589;-0,602;4,253;39,203;43,216;194,148;81,700;1,047;5267,425;13,795;5,965;10,289;9,048;84,708;10,696;1,050;6,552;0,300;5,424;5698488,305;0;0
20240923142852_Y4_X6;4,822;81,413;0,184;440,762;0,3494;6,345;-0,617;4,152;42,310;39,104;254,175;81,600;0,977;4951,358;13,392;5,496;9,844;9,448;84,914;10,334;1,002;6,460;0,278;5,260;5698488,305;0;0
20240923142852_Y4_X7;4,697;68,469;0,267;357,398;0,2219;6,270;-0,773;4,540;29,053;39,415;368,973;81,600;0,755;4442,521;13,073;4,992;10,479;10,619;86,133;10,249;1,030;6,460;0,247;4,972;5698488,305;0;0
20240923142852_Y4_X8;5,265;88,706;0,281;505,492;0,4294;7,018;-0,503;4,355;42,144;46,562;160,331;81,700;1,093;5435,220;14,741;6,544;11,025;10,561;86,023;11,976;1,130;7,252;0,326;5,533;5698488,305;0;0
20240923142852_Y5_X1;6,104;99,145;0,253;547,888;0,5295;7,658;-0,453;3,449;43,648;55,497;349,350;81,700;1,222;5744,427;18,172;6,116;9,959;6,300;85,269;11,799;1,066;7,898;0,305;6,944;5698488,305;0;0
