File name;Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;Area size;Class_1;Class_2
20240725142716_Y2_X2;10,657;158,188;0,502;736,874;0,4930;14,109;0,842;5,239;99,305;58,883;200,114;0,000;1,154;2845,303;31,026;22,056;9,916;13,357;90,648;33,504;1,213;17,566;1,084;11,642;5698488,305;1;7
20240725142716_Y2_X3;10,693;158,898;0,337;677,330;0,4459;13,837;0,543;3,858;81,363;77,535;181,147;0,000;1,092;2532,226;30,744;19,864;12,237;15,396;92,464;33,741;1,265;18,373;0,900;11,184;5698488,305;1;7
20240725142716_Y2_X4;35,298;359,724;0,358;662,215;0,6076;58,048;2,507;7,974;271,085;88,639;293,433;90,000;1,352;2394,508;34,944;205,118;11,929;17,282;92,288;204,170;1,351;76,769;9,859;20,159;5698488,305;1;7
20240725142716_Y2_X5;73,642;358,227;0,272;652,455;0,5880;84,076;-0,856;2,006;152,298;205,929;384,534;0,000;1,343;2312,721;76,522;19,946;256,969;4,806;70,535;44,280;3,532;70,682;0,972;123,008;5698488,305;1;7
20240725142716_Y3_X2;18,776;530,048;0,128;1536,673;2,316;28,582;0,951;14,409;336,780;193,268;91,216;179,400;2,681;4837,208;43,265;43,424;49,377;10,166;83,535;44,023;4,821;21,713;2,187;17,576;5698488,305;1;7
20240725142716_Y3_X3;25,451;359,362;0,560;730,539;0,6466;47,360;2,700;12,167;234,892;124,470;288,203;90,000;1,380;2086,004;43,436;138,753;44,246;13,363;86,276;191,490;3,978;27,453;8,431;17,633;5698488,305;1;7
20240725142716_Y3_X4;60,836;332,642;0,573;530,878;0,5540;76,724;-1,170;2,875;112,608;220,035;330,008;180,000;1,279;1662,999;74,145;24,295;232,756;9,615;75,400;53,923;8,755;59,072;1,221;107,563;5698488,305;1;7
20240725142716_Y4_X3;80,430;342,501;0,455;710,329;0,9733;87,428;0,714;1,698;197,636;144,865;371,508;90,000;1,794;2102,186;53,758;280,112;19,971;34,594;92,426;203,534;2,143;132,370;1,306;68,125;5698488,305;1;7
20240725142716_Y5_X2;26,766;438,702;0,459;691,599;0,6491;48,271;2,953;12,084;344,374;94,328;262,111;90,000;1,364;2233,045;48,053;149,535;19,192;13,662;87,746;193,231;2,118;29,819;9,362;19,594;5698488,305;1;7
20240725142716_Y5_X3;48,116;495,485;0,737;681,451;0,7114;67,566;-1,455;4,239;237,864;257,622;456,923;90,000;1,512;2621,928;71,873;38,360;213,274;8,088;80,630;57,741;20,984;34,175;1,904;32,100;5698488,305;1;7
20240725142716_Y6_X2;51,953;329,972;0,288;679,117;0,7690;69,711;1,591;3,922;241,128;88,844;307,268;90,000;1,550;2365,838;53,203;259,259;14,443;20,047;93,168;195,854;1,817;142,639;1,873;42,725;5698488,305;1;7
20240725142716_Y7_X2;79,868;318,798;0,453;590,736;0,7980;82,572;0,183;1,270;171,810;146,988;486,009;90,000;1,600;2427,750;78,700;206,328;20,424;46,781;96,293;172,638;2,139;101,300;1,634;80,743;5698488,305;1;7
20240725142716_Y8_X2;74,682;408,732;0,433;586,754;0,7636;82,913;-0,609;1,661;233,085;175,647;496,166;90,000;1,551;2562,479;96,500;18,464;214,630;5,100;67,395;57,372;2,599;79,527;1,082;113,781;5698488,305;1;7
20240725143840_Y1_X6;96,591;419,831;0,460;520,350;0,5393;112,393;1,065;2,322;283,352;136,479;486,450;90,000;1,261;2326,616;68,155;386,334;16,202;28,193;92,382;273,001;2,319;192,144;1,725;78,564;5698488,305;1;7
20240725143840_Y2_X6;134,030;436,253;0,513;566,175;0,7528;137,470;-0,104;1,154;219,929;216,324;572,354;90,000;1,518;2700,021;91,285;398,383;11,085;55,169;97,792;97,741;1,757;155,266;1,540;152,396;5698488,305;1;7
20240725143840_Y3_X6;117,224;370,372;0,435;528,076;0,4469;123,835;0,610;1,457;229,102;141,269;502,676;90,000;1,199;2460,993;54,952;427,046;14,628;36,569;93,524;277,184;1,833;178,833;1,122;98,449;5698488,305;1;7
20240725143840_Y4_X5;35,876;327,355;0,364;678,044;0,4479;42,984;-0,228;2,991;124,074;203,281;405,410;90,000;1,099;2938,874;124,874;20,441;52,662;8,235;95,847;74,570;3,905;54,807;1,097;41,927;5698488,305;1;7
20240725143840_Y4_X6;86,790;359,041;0,367;591,281;0,5109;102,239;1,181;2,514;231,400;127,641;409,575;90,000;1,212;3156,972;46,759;400,973;17,322;25,160;94,172;253,244;1,630;183,317;1,236;65,900;5698488,305;1;7
20240725143840_Y5_X5;59,076;287,051;0,490;626,886;0,7613;69,316;-0,276;1,798;146,402;140,649;406,975;180,000;1,541;1977,483;151,478;30,148;67,441;7,713;70,122;95,758;2,180;84,065;1,712;89,598;5698488,305;1;7
20240725143840_Y5_X6;14,841;299,135;0,504;631,791;0,4195;33,516;5,305;34,104;247,647;51,488;191,459;90,000;1,036;4062,960;33,945;104,552;9,522;8,794;89,911;30,470;1,255;15,631;4,679;12,183;5698488,305;1;7
20240725143840_Y6_X5;61,072;294,325;0,457;734,043;0,6384;64,610;0,394;1,503;192,988;101,337;535,097;90,000;1,345;3360,120;57,146;164,233;11,247;44,440;94,845;151,221;1,637;90,028;1,410;59,112;5698488,305;1;7
20240725143840_Y7_X5;49,097;240,297;0,387;610,507;0,5408;56,552;-0,201;1,680;128,812;111,485;448,584;90,000;1,273;2550,694;135,058;17,965;33,333;5,086;67,956;75,620;2,171;69,207;1,117;68,644;5698488,305;1;7
20240725143840_Y8_X5;58,123;312,308;0,389;573,418;0,5053;66,594;-0,307;1,745;163,215;149,093;437,356;90,000;1,238;2318,349;139,712;20,098;64,620;7,048;66,231;81,632;3,576;79,332;1,174;79,936;5698488,305;1;7
20240725145029_Y2_X2;55,233;476,065;0,479;621,015;0,8602;68,512;0,169;2,897;296,189;179,875;498,098;90,000;1,641;2206,662;147,389;67,903;48,157;15,955;80,496;134,874;5,229;89,052;2,831;75,506;5698488,305;1;7
20240725145029_Y2_X3;47,035;397,509;0,241;692,554;0,7021;55,899;0,806;4,075;263,351;134,159;338,685;0,000;1,498;3146,243;95,148;67,258;36,301;36,923;96,961;118,610;2,660;69,312;3,967;49,469;5698488,305;1;7
20240725145029_Y4_X2;107,322;536,223;0,388;736,257;0,9680;125,101;1,064;2,343;378,703;157,520;431,349;90,000;1,679;3285,897;70,464;449,840;25,628;26,798;85,600;306,537;3,389;213,615;2,089;87,707;5698488,305;1;7
20240725145733_Y1_X4;28,926;234,084;0,354;674,023;0,5552;37,521;-0,335;3,028;123,199;110,885;389,870;96,200;1,284;2676,277;73,069;35,349;65,940;16,151;86,773;68,749;6,629;42,330;1,440;27,568;5698488,305;1;7
20240725145733_Y2_X5;61,093;264,687;0,471;556,048;0,4527;65,171;0,332;1,564;159,518;105,169;546,850;90,000;1,175;2530,643;66,396;145,865;15,721;47,304;94,288;154,090;2,043;89,938;1,739;61,205;5698488,305;1;7
20240725145733_Y3_X4;21,916;175,585;0,242;565,103;0,3253;29,282;-0,577;3,438;82,467;93,118;233,003;180,000;0,928;2734,495;56,512;24,847;62,324;14,577;87,644;50,542;5,456;30,736;1,134;20,872;5698488,305;1;7
20240725145733_Y3_X5;53,517;257,243;0,581;675,673;0,5137;61,664;0,904;2,312;163,987;93,256;520,342;90,000;1,211;3311,928;46,898;182,777;28,190;31,313;90,177;157,176;2,630;102,093;1,687;45,022;5698488,305;1;7
20240725145733_Y4_X4;11,308;198,871;0,276;615,693;0,3944;19,865;2,942;15,506;144,093;54,777;158,086;0,000;1,018;4142,988;24,555;53,115;15,453;11,533;85,050;76,234;1,685;12,865;2,953;9,661;5698488,305;1;7
20240725145733_Y4_X5;16,058;259,518;0,327;565,958;0,3600;33,787;3,645;16,145;213,852;45,666;207,687;180,000;0,979;3630,808;20,950;128,808;12,808;11,436;86,140;139,653;1,348;11,047;7,258;8,162;5698488,305;1;7
20240725145733_Y4_X6;75,092;317,315;0,320;500,047;0,5618;85,920;1,062;2,296;216,772;100,543;444,041;0,000;1,383;1823,583;32,877;324,870;15,505;28,162;89,988;217,428;1,609;143,715;1,794;56,528;5698488,305;1;7
20240725145733_Y5_X4;19,594;200,806;0,422;563,567;0,3234;31,512;2,081;6,823;134,758;66,047;300,579;90,000;0,915;3412,710;23,028;119,454;18,925;15,151;83,412;106,674;1,962;57,618;2,744;15,925;5698488,305;1;7
20240725145733_Y5_X5;36,519;224,900;0,452;584,075;0,4986;48,492;-1,394;3,559;96,617;128,283;404,239;0,000;1,179;3202,175;51,656;14,618;140,700;5,291;76,881;31,367;14,683;25,568;0,699;29,276;5698488,305;1;7
20240725145733_Y5_X6;65,459;296,823;0,387;555,271;0,5210;78,319;-1,089;2,440;113,109;183,714;427,397;90,000;1,268;2246,940;72,753;17,668;262,322;3,216;75,320;38,530;2,905;61,466;0,741;128,013;5698488,305;1;7
20240725145733_Y6_X4;17,620;194,823;0,573;548,814;0,2956;28,712;1,698;6,039;124,248;70,575;290,316;90,000;0,878;3250,719;23,718;102,697;25,283;14,752;84,992;87,136;2,397;54,286;2,190;14,771;5698488,305;1;7
20240725145733_Y6_X5;20,402;204,336;0,210;618,996;0,3967;30,821;-2,200;8,987;62,222;142,114;221,272;90,000;1,037;4048,361;57,252;8,033;91,438;4,770;89,968;31,154;6,054;23,588;0,507;19,231;5698488,305;1;7
20240725145733_Y6_X6;89,320;309,603;0,472;566,065;0,6091;90,888;-0,150;1,136;138,651;170,952;554,327;90,000;1,353;3090,839;82,948;8,770;237,788;2,032;53,451;42,822;2,284;95,675;0,557;99,442;5698488,305;1;7
20240725145733_Y7_X4;28,367;282,958;0,278;472,673;0,2387;42,588;0,393;4,566;168,435;114,523;390,660;180,000;0,792;2122,764;41,321;130,195;81,480;8,969;76,241;105,770;6,622;23,591;5,989;30,239;5698488,305;1;7
20240725145733_Y7_X5;39,531;347,868;0,417;654,161;0,5150;59,807;-2,012;6,285;116,024;231,844;433,273;90,000;1,178;3397,408;63,198;20,034;182,936;5,945;81,853;39,576;17,094;28,602;0,987;26,973;5698488,305;1;7
20240725145733_Y7_X6;85,441;356,006;0,435;658,479;0,7222;92,396;0,586;1,551;186,349;169,657;496,780;90,000;1,466;2311,490;61,313;279,085;34,821;36,288;89,557;197,641;3,599;130,440;0,842;74,115;5698488,305;1;7
20240725151153_Y3_X5;17,640;305,966;0,141;563,006;0,3978;23,099;1,498;14,848;227,447;78,519;194,721;180,000;1,054;4142,636;49,340;39,856;20,858;5,142;82,131;33,654;2,281;22,143;1,364;20,305;5698488,305;1;7
20240725151153_Y3_X6;15,776;162,352;0,229;462,465;0,2548;20,322;-0,782;3,394;81,649;80,703;315,580;180,000;0,803;4568,455;44,039;11,141;34,740;5,543;83,207;25,382;3,743;19,121;0,551;17,243;5698488,305;1;7
20240725151153_Y3_X7;15,411;125,876;0,212;569,741;0,3760;20,030;-0,897;3,333;51,177;74,699;294,744;180,000;0,984;5611,633;39,651;9,658;37,232;7,524;81,507;25,677;3,949;18,266;0,532;16,810;5698488,305;1;7
20240725151153_Y3_X8;11,965;101,812;0,336;578,357;0,3672;14,473;-0,360;2,555;46,419;55,393;463,989;180,000;0,973;5318,432;38,007;8,550;15,218;4,489;86,133;21,571;1,761;16,054;0,433;14,310;5698488,305;1;7
20240725151153_Y4_X5;32,340;291,078;0,360;548,316;0,5336;45,030;0,765;4,285;166,326;124,752;310,152;180,000;1,330;3409,192;63,666;81,473;49,080;20,369;82,378;122,093;5,577;55,298;3,899;31,478;5698488,305;1;7
20240725151153_Y4_X6;22,553;185,764;0,392;490,317;0,3025;29,420;0,465;3,562;102,287;83,478;415,534;0,000;0,921;3706,087;64,767;61,269;24,935;8,707;85,718;73,082;3,206;29,143;2,968;24,008;5698488,305;1;7
20240725151153_Y4_X7;18,969;210,075;0,528;622,362;0,5690;26,813;1,228;5,126;125,637;84,438;221,494;0,000;1,281;5162,773;41,880;61,739;24,775;17,093;90,135;76,970;2,357;37,354;2,544;17,509;5698488,305;1;7
20240725151153_Y4_X8;12,767;141,337;0,289;563,945;0,3345;16,747;0,663;4,105;78,647;62,690;399,099;180,000;0,922;4872,386;36,267;26,103;11,855;13,927;88,568;38,601;1,500;22,892;1,070;14,356;5698488,305;1;7
20240725151153_Y5_X6;41,654;218,988;0,406;347,306;0,2447;54,064;1,200;3,039;136,607;82,381;442,128;90,000;0,855;2401,719;66,599;165,374;15,158;21,061;92,344;135,265;2,095;102,913;0,948;40,984;5698488,305;1;7
20240725151153_Y5_X7;36,131;212,056;0,208;520,688;0,4556;41,424;0,425;2,159;103,147;108,909;287,099;180,000;1,145;4235,503;61,039;71,207;33,369;35,743;93,787;95,487;2,512;59,693;1,264;35,518;5698488,305;1;7
20240725151153_Y5_X8;18,002;139,650;0,260;561,139;0,3342;21,515;-0,366;2,412;59,191;80,458;363,228;0,000;0,928;4309,727;48,375;12,215;22,847;7,408;78,196;31,433;2,171;24,176;0,685;23,039;5698488,305;1;7
20240725151153_Y5_X9;26,912;283,948;0,235;499,407;0,3305;34,350;1,144;5,877;207,080;76,868;332,080;0,000;1,041;2953,121;83,851;53,687;11,315;11,028;95,418;83,856;2,131;39,242;2,811;29,419;5698488,305;1;7
20240725152258_Y1_X6;64,093;317,147;0,419;503,822;0,3330;72,627;-0,413;1,886;152,036;165,112;469,492;90,000;0,981;2920,758;118,154;31,899;114,557;9,081;65,889;78,470;4,997;79,231;1,645;89,090;5698488,305;1;7
20240725152258_Y2_X6;65,433;345,461;0,522;577,876;0,3628;74,408;-0,493;1,889;164,492;180,969;560,824;90,000;0,981;2995,861;98,551;42,685;155,786;9,944;66,661;78,093;4,476;76,051;2,138;93,669;5698488,305;1;7
20240725152258_Y2_X7;44,124;381,691;0,434;653,688;0,4268;58,431;0,978;4,743;244,468;137,223;467,074;90,000;1,053;4772,131;128,597;150,217;34,894;7,632;88,773;171,549;4,283;57,455;6,438;48,018;5698488,305;1;7
20240725152258_Y3_X4;27,253;235,226;0,432;546,631;0,2918;33,711;0,074;2,798;128,633;106,593;453,862;90,000;0,890;2636,175;79,800;37,169;28,616;9,717;85,276;66,587;3,226;40,066;1,862;32,720;5698488,305;1;7
20240725152258_Y3_X5;24,919;211,808;0,397;607,230;0,3756;30,288;-0,135;2,659;97,594;114,213;429,814;90,000;0,989;3547,614;88,797;22,175;24,605;5,349;92,103;52,130;3,297;35,680;1,125;28,847;5698488,305;1;7
20240725152258_Y3_X6;28,267;315,304;0,479;624,024;0,4025;35,057;-0,557;3,678;157,989;157,315;515,661;90,000;1,031;3977,479;82,764;22,347;41,754;7,671;84,975;55,072;4,396;38,426;1,256;32,579;5698488,305;1;7
20240725152258_Y3_X7;67,673;341,026;0,520;590,274;0,4981;83,582;-1,165;2,797;123,936;217,089;491,655;0,000;1,161;3985,922;85,368;22,140;269,489;7,468;76,620;56,441;8,021;63,511;1,274;120,066;5698488,305;1;7
20240725152258_Y4_X6;26,782;260,390;0,498;577,666;0,3481;32,527;-0,179;2,406;164,256;96,134;364,435;0,000;0,952;3245,619;83,836;20,100;27,883;7,317;84,991;52,240;3,431;38,923;1,045;33,682;5698488,305;1;7
