File name;Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;Area size;Class_1;Class_2
20240717134917_Y3_X5;9,291;178,284;0,356;689,773;0,4268;11,811;-0,288;3,384;124,079;54,205;355,494;176,800;1,052;4711,450;28,894;9,587;13,820;9,209;87,864;20,491;1,559;13,450;0,484;10,444;5698488,305;10;10
20240717134917_Y3_X6;8,724;112,919;0,287;755,788;0,5114;11,021;-0,226;3,409;58,865;54,054;297,716;3,700;1,158;5191,618;27,488;9,390;12,305;7,974;87,518;18,868;1,420;12,320;0,478;9,968;5698488,305;10;10
20240717134917_Y3_X7;8,343;199,371;0,251;723,816;0,4648;11,559;0,876;17,053;149,162;50,209;261,429;90,000;1,105;4608,557;23,642;12,511;14,562;9,265;85,389;17,645;1,528;11,304;0,617;9,260;5698488,305;10;10
20240717134917_Y4_X5;9,785;254,397;0,572;716,923;0,4855;13,858;2,168;24,356;189,764;64,633;276,659;0,000;1,136;4676,097;29,439;21,378;12,867;8,198;87,851;22,657;1,457;13,273;0,986;10,695;5698488,305;10;10
20240717134917_Y4_X6;8,802;234,236;0,531;720,208;0,4733;11,548;0,278;7,673;182,408;51,828;325,614;180,000;1,109;4706,525;26,446;11,611;13,985;9,991;87,910;20,103;1,474;12,697;0,580;9,762;5698488,305;10;10
20240717134917_Y4_X7;7,843;220,892;0,433;676,702;0,4019;9,818;-0,074;7,333;172,749;48,143;377,457;180,000;1,020;4642,503;27,015;6,836;11,309;5,192;90,440;15,848;1,246;10,877;0,346;8,912;5698488,305;10;10
20240717134917_Y5_X5;9,662;222,822;0,442;686,759;0,4058;12,573;0,260;8,286;174,718;48,104;310,263;179,900;1,036;4039,039;29,465;11,899;15,255;7,769;86,852;20,228;1,639;13,240;0,582;10,993;5698488,305;10;10
20240717134917_Y5_X6;9,471;237,349;0,455;734,524;0,5014;12,749;1,009;14,073;180,279;57,070;230,857;90,000;1,156;4561,420;30,294;14,901;13,647;8,319;89,826;21,601;1,501;13,460;0,715;10,247;5698488,305;10;10
20240717134917_Y5_X7;8,827;249,163;0,509;693,112;0,4406;10,955;0,149;6,088;204,469;44,694;461,807;0,000;1,068;4905,980;30,191;8,678;9,215;7,422;90,825;19,607;1,188;13,061;0,450;10,200;5698488,305;10;10
20240717134917_Y6_X5;12,485;296,611;0,401;676,643;0,4426;18,075;2,362;24,398;244,782;51,829;275,560;180,000;1,106;2997,268;39,145;32,573;18,961;6,677;90,003;26,564;1,977;16,504;1,284;13,124;5698488,305;10;10
20240717141436_Y4_X5;9,359;241,657;0,067;654,363;0,4592;14,998;1,772;17,354;175,883;65,774;77,424;180,000;1,095;4420,711;21,724;24,705;20,844;15,633;89,221;31,428;1,728;12,906;1,495;8,156;5698488,305;10;10
20240717141436_Y5_X4;8,613;160,303;0,104;600,694;0,3514;13,136;1,939;11,081;104,976;55,327;143,900;175,600;0,942;4568,279;21,664;31,766;10,323;12,471;89,829;38,511;1,063;12,227;1,734;8,002;5698488,305;10;10
20240717141436_Y5_X5;8,112;147,838;0,100;536,728;0,3131;12,887;2,605;13,512;111,975;35,863;138,529;173,700;0,894;4504,257;19,696;35,669;6,682;12,383;91,305;42,174;0,798;10,905;1,998;7,026;5698488,305;10;10
