File name;Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;Area size;Class_1;Class_2
20240726150217_Y1_X3;18,999;126,684;0,369;546,556;0,3470;22,484;-0,091;2,072;69,622;57,061;409,186;90,000;0,945;5092,419;65,516;9,846;11,955;5,626;89,590;37,029;1,916;28,281;0,628;24,081;5698488,305;3;7
20240726150217_Y3_X3;22,303;198,055;0,439;564,524;0,3110;26,408;0,079;2,355;128,461;69,594;482,628;90,000;0,886;3997,882;85,385;19,285;11,172;3,687;96,104;45,582;2,053;33,368;0,897;27,521;5698488,305;3;7
20240726150217_Y3_X4;21,397;211,827;0,386;587,350;0,3451;26,515;0,351;3,484;139,096;72,731;422,798;90,000;0,954;3396,353;71,167;29,045;14,521;7,636;90,373;49,371;2,249;31,992;1,359;25,962;5698488,305;3;7
20240726150217_Y3_X5;21,869;227,953;0,217;569,471;0,4885;28,205;0,755;4,780;142,435;85,519;229,731;171,800;1,219;3973,082;75,370;58,588;22,842;6,231;94,834;72,518;2,311;30,620;2,279;24,132;5698488,305;3;7
20240726150217_Y4_X3;24,092;200,437;0,428;535,181;0,3465;28,640;0,113;2,625;113,629;86,809;455,719;90,000;0,951;4097,961;88,223;23,936;21,038;5,443;96,277;50,165;2,221;35,576;1,138;28,671;5698488,305;3;7
20240726150217_Y4_X6;19,319;354,383;0,295;542,323;0,5291;28,246;2,300;15,119;269,786;84,596;305,739;90,000;1,258;3405,323;54,016;52,426;15,046;12,000;89,479;59,275;1,959;28,403;2,828;20,815;5698488,305;3;7
20240726150217_Y5_X4;20,319;140,862;0,473;555,010;0,3864;24,517;0,022;2,295;69,958;70,904;503,694;90,000;0,990;5940,012;70,243;15,988;15,663;8,438;92,354;46,065;2,185;31,724;0,881;24,560;5698488,305;3;7
20240726150217_Y5_X5;20,496;213,872;0,484;512,657;0,3795;26,600;0,975;5,665;147,753;66,119;508,950;0,000;1,023;5036,135;64,733;39,112;12,715;10,306;91,804;54,840;1,920;31,482;1,971;23,584;5698488,305;3;7
20240726150217_Y6_X4;25,619;209,401;0,419;534,730;0,3802;31,941;0,516;3,456;131,962;77,439;444,347;90,000;0,987;5313,155;86,933;40,540;14,441;8,763;93,338;69,251;2,418;39,358;2,007;30,342;5698488,305;3;7
20240726150217_Y6_X5;19,978;138,758;0,485;506,287;0,2980;24,296;-0,075;2,313;65,030;73,727;509,967;90,000;0,861;5121,264;65,103;14,896;17,371;9,375;88,344;43,579;2,315;31,253;0,767;24,877;5698488,305;3;7
