File name;Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;Area size;Class_1;Class_2
20240715113306_Y1_X1;9,310;160,990;0,351;644,548;0,3932;11,427;-0,296;2,846;83,487;77,503;379,543;90,000;1,021;3838,529;30,996;7,428;11,480;5,752;88,660;18,551;1,363;13,003;0,398;10,980;5698488,305;12;12
20240715113306_Y1_X2;8,325;169,683;0,309;640,150;0,3655;10,456;-0,310;3,440;114,490;55,193;330,609;90,000;0,985;3569,424;26,344;8,421;12,055;6,901;87,593;17,218;1,319;11,519;0,423;9,685;5698488,305;12;12
20240715113306_Y1_X3;8,073;111,428;0,297;711,040;0,4921;10,185;-0,442;3,311;48,293;63,135;312,206;90,000;1,149;4486,492;25,253;7,572;12,464;7,134;86,870;16,688;1,379;11,097;0,391;9,316;5698488,305;12;12
20240715113306_Y1_X4;7,318;256,658;0,325;611,394;0,3454;9,340;-0,318;4,592;200,464;56,193;336,372;90,000;0,959;3515,427;22,262;7,783;11,489;7,833;86,442;15,364;1,247;10,089;0,392;8,376;5698488,305;12;12
20240715113306_Y1_X5;7,072;119,284;0,279;697,807;0,4632;8,864;-0,294;3,143;65,869;53,416;291,093;90,000;1,115;4497,925;22,449;6,899;10,029;7,486;87,636;14,981;1,136;9,947;0,355;8,158;5698488,305;12;12
20240715113306_Y1_X6;7,009;147,077;0,287;664,583;0,4178;8,930;-0,442;3,607;88,519;58,558;270,499;90,000;1,052;4116,077;21,238;7,000;11,513;7,954;86,410;14,570;1,235;9,635;0,360;7,976;5698488,305;12;12
20240715113306_Y1_X7;6,243;105,484;0,635;645,156;0,3844;8,040;-0,246;3,822;53,916;51,568;237,685;0,000;1,011;3940,895;18,704;7,573;9,893;8,878;86,425;13,742;1,083;8,719;0,380;7,047;5698488,305;12;12
20240715113306_Y1_X8;5,626;111,603;0,515;556,309;0,2600;7,287;-0,507;4,001;34,572;77,031;188,049;0,000;0,823;3108,076;16,455;6,338;10,234;8,605;86,000;12,041;1,059;7,638;0,321;6,263;5698488,305;12;12
20240715113306_Y1_X9;6,013;155,609;0,378;598,540;0,3143;7,614;-0,292;3,778;108,978;46,632;223,412;0,000;0,909;3562,917;18,731;6,312;9,028;7,468;87,084;12,529;1,002;8,311;0,319;6,888;5698488,305;12;12
20240715113306_Y2_X1;9,316;119,881;0,344;707,720;0,4988;11,456;-0,207;3,043;56,377;63,504;375,731;90,000;1,155;4482,447;31,119;8,570;10,660;6,865;89,958;19,976;1,239;13,453;0,453;10,998;5698488,305;12;12
20240715113306_Y2_X2;7,964;115,690;0,288;626,968;0,3487;9,944;-0,282;3,195;59,930;55,759;302,659;90,000;0,960;3480,074;25,295;7,915;10,655;7,352;87,551;16,908;1,213;11,202;0,408;9,301;5698488,305;12;12
20240715113306_Y2_X3;7,640;138,776;0,294;667,124;0,4256;9,630;-0,298;3,493;72,681;66,095;312,797;90,000;1,067;4083,538;24,268;8,232;10,975;7,651;88,311;16,706;1,193;10,751;0,421;8,765;5698488,305;12;12
20240715113306_Y2_X4;7,267;115,820;0,243;706,157;0,4883;9,236;-0,387;3,788;52,490;63,330;255,590;90,000;1,145;4533,102;22,653;7,861;11,095;7,685;87,541;15,658;1,194;10,098;0,399;8,319;5698488,305;12;12
20240715113306_Y2_X5;6,861;172,945;0,335;590,216;0,2990;8,665;-0,364;3,789;125,447;47,498;354,210;90,000;0,885;3262,152;21,606;6,987;10,235;7,230;87,625;14,425;1,116;9,488;0,357;7,885;5698488,305;12;12
20240715113306_Y2_X6;6,962;145,285;0,238;445,860;0,1471;8,827;-0,252;3,430;50,804;94,481;250,619;90,000;0,604;1521,939;21,185;8,213;10,098;8,481;86,665;15,641;1,115;9,789;0,414;8,006;5698488,305;12;12
20240715113306_Y2_X7;5,704;129,582;0,434;529,442;0,2369;7,242;-0,275;3,520;87,029;42,553;273,470;90,000;0,781;2853,394;18,081;6,204;8,597;8,466;88,729;12,779;0,924;8,192;0,316;6,448;5698488,305;12;12
20240715113306_Y2_X8;5,579;174,791;0,575;537,152;0,2335;7,213;-0,427;4,008;66,223;108,569;126,355;0,000;0,775;2725,349;16,761;6,383;9,437;9,111;87,013;12,526;0,997;7,837;0,323;6,230;5698488,305;12;12
20240715113306_Y2_X9;5,471;125,121;0,658;647,639;0,3673;7,045;-0,228;3,875;76,825;48,296;78,785;1,700;0,990;3702,394;16,828;6,959;8,493;9,388;88,344;13,003;0,898;7,900;0,349;6,102;5698488,305;12;12
20240715113306_Y3_X1;9,379;124,515;0,303;633,438;0,3610;11,534;-0,235;2,847;62,139;62,376;326,266;90,000;0,979;3422,032;30,086;8,708;11,388;6,852;87,753;19,452;1,314;13,198;0,454;11,153;5698488,305;12;12
20240715113306_Y3_X2;8,338;179,199;0,253;732,464;0,5541;10,486;-0,116;3,588;123,981;55,218;267,036;90,000;1,220;4682,077;26,694;9,160;11,045;8,079;88,630;18,435;1,245;12,003;0,466;9,616;5698488,305;12;12
20240715113306_Y3_X3;7,693;137,644;0,324;686,926;0,4730;9,676;-0,242;3,310;63,364;74,280;344,530;90,000;1,126;4465,914;24,708;8,362;10,710;7,749;88,706;17,029;1,182;10,920;0,429;8,839;5698488,305;12;12
20240715113306_Y3_X4;7,611;146,944;0,279;651,721;0,4224;9,569;-0,232;3,256;74,546;72,398;290,410;90,000;1,062;4088,639;24,076;8,107;10,360;8,448;88,300;17,029;1,154;10,996;0,416;8,780;5698488,305;12;12
20240715113306_Y3_X5;7,617;171,604;0,349;679,862;0,4478;9,568;-0,183;3,279;109,069;62,535;368,252;90,000;1,091;4375,508;24,115;8,305;10,071;8,440;88,125;17,073;1,153;11,010;0,424;8,771;5698488,305;12;12
20240715113306_Y3_X6;6,934;111,006;0,312;636,561;0,3854;8,722;-0,283;3,381;56,015;54,991;328,288;90,000;1,010;4068,588;21,790;7,577;9,832;7,450;87,440;14,943;1,104;9,621;0,385;7,961;5698488,305;12;12
20240715113306_Y3_X7;6,340;183,326;0,352;631,398;0,3762;8,073;-0,102;3,609;91,733;91,594;160,159;90,000;0,995;3963,408;20,071;7,792;8,914;9,714;89,521;15,325;0,981;9,418;0,391;7,059;5698488,305;12;12
20240715113306_Y3_X8;6,114;212,593;0,834;698,246;0,4815;7,854;-0,117;4,208;123,829;88,765;97,120;90,000;1,137;4464,331;19,050;7,969;9,042;9,539;88,989;14,957;0,974;8,918;0,400;6,790;5698488,305;12;12
20240715113306_Y3_X9;5,709;124,762;0,923;604,587;0,3288;7,497;-0,334;4,152;56,960;67,801;92,222;180,000;0,928;3636,261;16,845;7,476;10,301;10,577;87,823;13,814;1,042;8,276;0,371;6,174;5698488,305;12;12
20240715113306_Y4_X1;9,679;156,577;0,345;738,888;0,5671;12,161;0,002;3,556;87,754;68,823;373,452;90,000;1,230;4828,062;30,642;12,274;11,860;8,199;88,555;22,328;1,344;13,919;0,612;11,219;5698488,305;12;12
20240715113306_Y4_X2;8,637;129,469;0,307;700,907;0,5079;10,774;-0,203;3,114;58,428;71,041;324,594;90,000;1,164;4586,747;28,409;8,642;10,967;7,758;89,364;19,160;1,282;12,526;0,448;9,950;5698488,305;12;12
20240715113306_Y4_X3;7,918;156,061;0,385;689,080;0,4782;9,901;-0,102;3,101;102,768;53,293;402,492;90,000;1,124;4474,180;26,199;8,393;10,241;8,860;90,754;18,489;1,147;11,857;0,431;8,940;5698488,305;12;12
20240715113306_Y4_X4;7,519;212,346;0,436;690,265;0,5214;9,459;-0,071;3,409;69,354;142,991;354,439;90,000;1,178;4869,747;23,971;8,926;9,535;8,722;88,894;17,474;1,088;10,999;0,451;8,646;5698488,305;12;12
20240715113306_Y4_X5;7,575;203,376;0,320;674,594;0,4578;9,601;-0,185;3,582;149,532;53,844;332,032;90,000;1,098;4489,131;23,569;8,447;10,810;9,326;88,103;17,262;1,195;11,085;0,427;8,618;5698488,305;12;12
20240715113306_Y4_X6;7,178;157,690;0,217;698,797;0,5193;9,224;-0,104;3,861;95,870;61,820;161,253;90,000;1,173;4791,654;21,975;9,311;10,269;10,556;88,606;17,665;1,122;10,750;0,462;8,033;5698488,305;12;12
20240715113306_Y4_X7;6,509;132,192;0,326;372,116;0,1079;8,380;0,116;4,648;77,242;54,950;185,076;90,000;0,509;975,286;20,159;9,105;8,593;10,049;89,198;16,155;0,970;9,580;0,456;7,250;5698488,305;12;12
20240715113306_Y4_X8;6,498;312,115;0,529;668,849;0,4473;8,260;0,003;3,924;115,670;196,445;118,494;180,000;1,091;4373,222;20,443;8,185;8,456;10,401;89,595;15,820;0,959;9,845;0,408;7,272;5698488,305;12;12
20240715113306_Y4_X9;5,920;105,367;0,843;323,435;0,08760;7,767;-0,006;4,821;63,483;41,884;105,971;180,000;0,449;656,405;17,802;8,528;9,306;10,255;88,202;14,344;0,997;8,587;0,426;6,448;5698488,305;12;12
20240715113306_Y5_X1;10,548;160,524;0,378;709,599;0,5339;13,156;-0,042;3,486;95,375;65,148;401,386;90,000;1,190;4616,120;34,527;11,590;12,170;7,948;89,561;23,940;1,428;15,432;0,589;12,360;5698488,305;12;12
20240715113306_Y5_X2;8,602;218,712;0,366;647,865;0,4188;10,708;0,032;3,278;153,332;65,380;382,315;90,000;1,050;4132,083;28,991;9,957;9,595;8,314;91,259;20,556;1,155;12,859;0,507;9,795;5698488,305;12;12
20240715113306_Y5_X3;8,304;179,402;0,374;714,381;0,5335;10,647;0,418;6,682;112,471;66,931;388,136;90,000;1,187;4827,359;26,981;11,521;10,069;8,064;89,918;19,130;1,144;11,993;0,569;9,508;5698488,305;12;12
20240715113306_Y5_X4;7,734;104,614;0,501;704,346;0,5285;9,796;-0,030;3,415;55,724;48,891;355,282;90,000;1,187;4883,994;24,284;9,821;9,887;9,193;88,549;18,329;1,132;11,350;0,494;8,842;5698488,305;12;12
20240715113306_Y5_X5;7,488;188,588;0,659;621,397;0,3994;9,508;-0,188;3,566;133,883;54,705;439,152;90,000;1,025;4111,856;23,627;8,496;10,367;9,817;89,046;17,708;1,158;11,191;0,426;8,458;5698488,305;12;12
20240715113306_Y5_X6;7,719;154,975;0,561;645,551;0,4416;9,716;-0,145;3,490;70,774;84,201;257,448;90,000;1,080;4288,269;25,052;8,329;10,249;9,584;90,699;18,154;1,104;11,661;0,420;8,748;5698488,305;12;12
20240715113306_Y5_X7;7,559;148,828;0,449;679,048;0,5123;9,628;0,121;4,292;94,088;54,740;194,762;180,000;1,163;4627,377;24,261;9,868;9,463;9,871;90,448;18,622;1,078;11,407;0,494;8,437;5698488,305;12;12
20240715113306_Y5_X8;6,610;183,731;0,502;286,966;0,09626;8,598;0,704;9,933;117,663;66,068;136,491;180,000;0,474;521,853;21,148;9,684;8,255;8,874;89,895;15,800;0,936;9,659;0,479;7,433;5698488,305;12;12
20240715113306_Y5_X9;6,224;109,020;0,647;570,225;0,2950;7,972;-0,197;3,575;71,812;37,208;131,164;180,000;0,877;3365,749;19,214;7,668;9,218;9,695;88,279;14,939;1,006;9,111;0,385;6,979;5698488,305;12;12
20240715113306_Y6_X1;10,614;247,844;0,399;679,447;0,4845;13,112;-0,037;2,949;64,473;183,371;420,903;90,000;1,140;4279,651;34,477;10,890;11,379;8,752;89,319;23,958;1,383;15,924;0,561;12,513;5698488,305;12;12
